,GAME_ID,H_TEAM,A_TEAM,H_POINTS,A_POINTS,TOTAL,M_OF_VIC,WINNER
1149,21401150.0,Golden State Warriors,San Antonio Spurs,92.0,107.0,199.0,15.0,San Antonio Spurs
1150,21401151.0,Philadelphia 76ers,New York Knicks,91.0,101.0,192.0,10.0,New York Knicks
1151,21401152.0,Utah Jazz,Sacramento Kings,101.0,95.0,196.0,6.0,Utah Jazz
1152,21401153.0,Los Angeles Clippers,Los Angeles Lakers,106.0,78.0,184.0,28.0,Los Angeles Clippers
1153,21401154.0,Phoenix Suns,Atlanta Hawks,69.0,96.0,165.0,27.0,Atlanta Hawks
1154,21401155.0,Charlotte Hornets,Miami Heat,100.0,105.0,205.0,5.0,Miami Heat
1155,21401156.0,Golden State Warriors,New Orleans Pelicans,100.0,103.0,203.0,3.0,New Orleans Pelicans
1156,21401157.0,San Antonio Spurs,Oklahoma City Thunder,113.0,88.0,201.0,25.0,San Antonio Spurs
1157,21401158.0,Minnesota Timberwolves,Sacramento Kings,111.0,116.0,227.0,5.0,Sacramento Kings
1158,21401159.0,Los Angeles Lakers,Los Angeles Clippers,100.0,105.0,205.0,5.0,Los Angeles Clippers
1159,21401160.0,Toronto Raptors,Charlotte Hornets,92.0,74.0,166.0,18.0,Toronto Raptors
1160,21401161.0,Chicago Bulls,Orlando Magic,103.0,105.0,208.0,2.0,Orlando Magic
1161,21401162.0,Washington Wizards,Philadelphia 76ers,119.0,90.0,209.0,29.0,Washington Wizards
1162,21401163.0,Atlanta Hawks,Brooklyn Nets,114.0,111.0,225.0,3.0,Atlanta Hawks
1163,21401164.0,Boston Celtics,Detroit Pistons,113.0,103.0,216.0,10.0,Boston Celtics
1164,21401165.0,Indiana Pacers,New York Knicks,102.0,86.0,188.0,16.0,Indiana Pacers
1165,21401166.0,New Orleans Pelicans,Memphis Grizzlies,74.0,110.0,184.0,36.0,Memphis Grizzlies
1166,21401167.0,Cleveland Cavaliers,Milwaukee Bucks,104.0,99.0,203.0,5.0,Cleveland Cavaliers
1167,21401168.0,Houston Rockets,San Antonio Spurs,98.0,110.0,208.0,12.0,San Antonio Spurs
1168,21401169.0,Los Angeles Lakers,Denver Nuggets,101.0,119.0,220.0,18.0,Denver Nuggets
1169,21401170.0,Sacramento Kings,Utah Jazz,91.0,103.0,194.0,12.0,Utah Jazz
1170,21401171.0,Phoenix Suns,Dallas Mavericks,104.0,107.0,211.0,3.0,Dallas Mavericks
