,GAME_ID,H_TEAM,A_TEAM,H_POINTS,A_POINTS,TOTAL,M_OF_VIC,WINNER,PLUS_MINUS,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_STL,H_BLK,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_STL,A_BLK
3920,21801199.0,Brooklyn Nets,Indiana Pacers,108.0,96.0,204.0,96.0,Indiana Pacers,12.0,0.306,0.773,52.0,23.0,7.0,4.0,0.37,0.5710000000000001,33.0,27.0,6.0,3.0
3921,21801169.0,Toronto Raptors,Brooklyn Nets,115.0,105.0,220.0,115.0,Toronto Raptors,10.0,0.395,0.857,52.0,29.0,9.0,1.0,0.313,0.619,53.0,23.0,3.0,2.0
3922,21801137.0,,Brooklyn Nets,0.0,110.0,110.0,110.0,Brooklyn Nets,14.0,,,,,,,0.316,0.7859999999999999,40.0,22.0,7.0,2.0
3923,21801106.0,Brooklyn Nets,Portland Trail Blazers,144.0,148.0,292.0,4.0,Portland Trail Blazers,4.0,0.357,0.705,59.0,25.0,3.0,4.0,0.311,0.778,55.0,35.0,9.0,5.0
3924,21801063.0,Brooklyn Nets,Sacramento Kings,123.0,121.0,244.0,2.0,Brooklyn Nets,2.0,0.3429999999999999,0.7390000000000001,41.0,28.0,16.0,4.0,0.36,0.7,46.0,25.0,13.0,1.0
3925,21801041.0,Brooklyn Nets,Utah Jazz,98.0,114.0,212.0,16.0,Utah Jazz,16.0,0.3329999999999999,0.909,44.0,20.0,9.0,5.0,0.361,0.742,65.0,24.0,3.0,7.0
3926,21801003.0,Detroit Pistons,Brooklyn Nets,75.0,103.0,178.0,28.0,Brooklyn Nets,28.0,0.235,0.813,49.0,16.0,7.0,3.0,0.355,0.636,53.0,21.0,9.0,4.0
3927,21800969.0,,Brooklyn Nets,0.0,113.0,113.0,113.0,Brooklyn Nets,6.0,,,,,,,0.364,0.5770000000000001,50.0,21.0,5.0,7.0
3928,21800937.0,Brooklyn Nets,,88.0,0.0,88.0,88.0,Brooklyn Nets,29.0,0.214,0.773,36.0,20.0,6.0,6.0,,,,,,
3929,21800914.0,Washington Wizards,Brooklyn Nets,125.0,116.0,241.0,125.0,Washington Wizards,9.0,0.297,0.8390000000000001,57.0,34.0,10.0,4.0,0.2289999999999999,0.769,41.0,20.0,7.0,3.0
3930,21800884.0,Brooklyn Nets,Charlotte Hornets,117.0,115.0,232.0,2.0,Brooklyn Nets,2.0,0.395,0.769,42.0,23.0,5.0,6.0,0.3429999999999999,0.833,42.0,15.0,4.0,5.0
3931,21800853.0,Brooklyn Nets,,148.0,0.0,148.0,148.0,Brooklyn Nets,9.0,0.4,0.765,60.0,31.0,4.0,13.0,,,,,,
3932,21800820.0,,Brooklyn Nets,0.0,106.0,106.0,106.0,Brooklyn Nets,19.0,,,,,,,0.317,0.938,33.0,26.0,9.0,1.0
3933,21800792.0,,Brooklyn Nets,0.0,94.0,94.0,94.0,Brooklyn Nets,19.0,,,,,,,0.119,0.821,56.0,23.0,5.0,9.0
3934,21800767.0,Brooklyn Nets,San Antonio Spurs,114.0,117.0,231.0,117.0,San Antonio Spurs,3.0,0.324,0.655,46.0,30.0,5.0,7.0,0.364,0.862,50.0,23.0,6.0,3.0
3935,21800746.0,Brooklyn Nets,,104.0,0.0,104.0,104.0,Brooklyn Nets,8.0,0.382,0.813,48.0,20.0,10.0,5.0,,,,,,
3936,21800708.0,Orlando Magic,Brooklyn Nets,110.0,114.0,224.0,110.0,Orlando Magic,4.0,0.324,0.821,42.0,22.0,7.0,11.0,0.313,0.7829999999999999,45.0,20.0,7.0,2.0
3937,21800673.0,Brooklyn Nets,Orlando Magic,117.0,115.0,232.0,2.0,Brooklyn Nets,2.0,0.413,0.667,41.0,24.0,5.0,5.0,0.385,0.7859999999999999,49.0,26.0,5.0,6.0
