,GAME_ID,PTS
9143,21400926,178
9681,21400927,176
10761,21400928,234
6461,21400929,176
3233,21400930,214
2161,21400931,221
3774,21400932,204
7532,21400933,183
15065,21400934,209
555,21400935,201
12910,21400936,212
2691,21400937,193
15598,21400938,164
11299,21400939,235
554,21400940,190
2160,21400941,192
1622,21400942,217
3232,21400943,184
3773,21400944,178
4841,21400945,165
8601,21400946,204
7531,21400947,202
1089,21400948,221
12909,21400949,224
8069,21400950,169
5382,21400951,178
15597,21400952,219
2159,21400953,199
553,21400954,187
7530,21400955,202
6459,21400956,188
12371,21400957,228
3231,21400958,217
10217,21400959,203
3772,21400960,203
10760,21400961,205
9141,21400962,212
13986,21400963,194
1088,21400964,253
13448,21400965,200
8068,21400966,195
15596,21400967,192
11297,21400968,221
8599,21400969,183
12908,21400970,194
12370,21400971,212
2689,21400972,228
3771,21400973,217
10216,21400974,183
15062,21400975,217
9140,21400976,182
11296,21400977,210
7529,21400978,181
13985,21400979,179
13447,21400980,173
8067,21400981,219
12369,21400982,209
4838,21400983,198
1620,21400984,229
8598,21400985,231
11834,21400986,220
12907,21400987,210
8066,21400988,191
16,21400989,177
9139,21400990,215
14522,21400991,202
9677,21400992,197
13984,21400993,173
6996,21400994,228
1086,21400995,198
12368,21400996,234
15595,21400997,160
15,21400998,213
3769,21400999,213
15060,21401000,200
8065,21401001,204
4300,21401002,201
1619,21401003,169
15594,21401004,191
1085,21401005,209
15059,21401006,177
10756,21401007,212
6995,21401008,205
2156,21401009,189
6455,21401010,217
549,21401011,240
2687,21401012,209
4836,21401013,221
14,21401014,209
13445,21401015,172
6994,21401016,187
3227,21401017,226
1618,21401018,146
5378,21401019,153
10755,21401020,215
9675,21401021,178
7526,21401022,256
1084,21401023,187
3226,21401024,199
2155,21401025,200
12366,21401026,238
13982,21401027,213
548,21401028,190
11293,21401029,192
1617,21401030,208
14520,21401031,212
7525,21401032,234
15058,21401033,198
10213,21401034,219
10754,21401035,183
13443,21401036,197
6453,21401037,198
5914,21401038,168
11830,21401039,209
1616,21401040,207
8062,21401041,195
11292,21401042,195
15057,21401043,202
3225,21401044,219
6993,21401045,207
10212,21401046,190
9674,21401047,188
9135,21401048,210
546,21401049,201
8061,21401050,185
2153,21401051,184
6992,21401052,210
14518,21401053,183
15056,21401054,212
5913,21401055,177
12364,21401056,244
11829,21401057,195
11291,21401058,213
10753,21401059,230
7523,21401060,179
8060,21401061,191
8593,21401062,178
14517,21401063,204
5912,21401064,179
12901,21401065,219
13979,21401066,200
6991,21401067,200
4296,21401068,188
9672,21401069,184
13441,21401070,181
12363,21401071,221
10211,21401072,207
9133,21401073,218
8592,21401074,208
9671,21401075,217
14516,21401076,217
10,21401077,185
1081,21401078,204
8059,21401079,188
5374,21401080,177
4295,21401081,230
13978,21401082,191
11289,21401083,190
11827,21401084,170
3223,21401085,198
10210,21401086,168
9,21401087,215
2151,21401088,191
6450,21401089,203
13439,21401090,183
3222,21401091,234
1080,21401092,173
5373,21401093,206
1613,21401094,198
543,21401095,225
15054,21401096,211
4294,21401097,190
13977,21401098,192
9132,21401099,203
12361,21401100,206
542,21401101,220
5372,21401102,224
6449,21401103,189
4293,21401104,195
13976,21401105,180
13438,21401106,188
10749,21401107,195
9131,21401108,217
7,21401109,200
5909,21401110,176
3761,21401111,216
15586,21401112,180
11824,21401113,194
9668,21401114,199
9130,21401115,187
8057,21401116,198
4292,21401117,226
2150,21401118,186
12898,21401119,212
2681,21401120,266
13437,21401121,182
10748,21401122,248
5371,21401123,205
1079,21401124,202
4291,21401125,209
10207,21401126,213
15585,21401127,167
8056,21401128,188
540,21401129,211
12897,21401130,223
