,GAME_ID,H_TEAM,A_TEAM,H_POINTS,A_POINTS,TOTAL,M_OF_VIC,WINNER,PLUS_MINUS,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_STL,H_BLK,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_STL,A_BLK,H_LAST_15_FG3_PCT,H_LAST_15_FT_PCT,H_LAST_15_REB,H_LAST_15_AST,H_LAST_15_STL,H_LAST_15_BLK,A_LAST_15_FG3_PCT,A_LAST_15_FT_PCT,A_LAST_15_REB,A_LAST_15_AST,A_LAST_15_STL,A_LAST_15_BLK
5314,21800395,Cleveland Cavaliers,Milwaukee Bucks,92,108,200,16,Milwaukee Bucks,16,0.33299999999999996,0.667,46,24,5,2,0.41700000000000004,0.818,58,22,4,4,0.36219999999999997,0.7640666666666667,44.733333333333334,18.6,6.066666666666666,2.6,0.33646666666666664,0.7403333333333334,48.266666666666666,26.866666666666667,8.466666666666667,5.6
5315,21800396,Utah Jazz,Oklahoma City Thunder,113,122,235,9,Oklahoma City Thunder,9,0.276,0.633,45,30,11,4,0.381,0.718,43,25,12,2,0.31373333333333336,0.7115999999999999,42.86666666666667,23.6,9.6,5.066666666666666,0.3262,0.7336666666666667,50.86666666666667,23.0,9.6,5.866666666666666
5316,21800397,Orlando Magic,Dallas Mavericks,76,101,177,25,Dallas Mavericks,25,0.28600000000000003,0.8,42,18,8,2,0.28600000000000003,0.84,52,28,7,4,0.3836666666666667,0.8304666666666667,41.06666666666667,26.733333333333334,6.2,5.333333333333333,0.3712,0.7516,46.666666666666664,22.266666666666666,8.466666666666667,4.666666666666667
5317,21800398,Memphis Grizzlies,Denver Nuggets,99,105,204,6,Denver Nuggets,6,0.33299999999999996,0.941,34,22,7,4,0.321,0.7829999999999999,40,22,11,6,0.34806666666666664,0.7559333333333333,41.266666666666666,23.533333333333335,8.333333333333334,7.466666666666667,0.3747333333333333,0.7452666666666666,47.13333333333333,28.666666666666668,8.133333333333333,4.866666666666666
5318,21800399,Los Angeles Clippers,Phoenix Suns,123,119,242,4,Los Angeles Clippers,4,0.33299999999999996,0.7879999999999999,42,27,8,4,0.36,0.8,40,31,14,8,0.3607333333333333,0.7940666666666666,46.46666666666667,21.933333333333334,6.333333333333333,5.133333333333334,0.33066666666666666,0.7753333333333334,38.46666666666667,23.266666666666666,9.266666666666667,4.733333333333333
5319,21800400,Minnesota Timberwolves,Golden State Warriors,108,116,224,8,Golden State Warriors,8,0.28,0.8059999999999999,42,28,5,6,0.442,0.905,49,25,6,5,0.38993333333333335,0.7908666666666666,45.2,24.466666666666665,9.466666666666667,5.2,0.365,0.8348,44.666666666666664,26.0,6.933333333333334,6.533333333333333
5320,21800401,Miami Heat,Los Angeles Lakers,105,108,213,3,Los Angeles Lakers,3,0.324,0.769,50,29,9,7,0.43799999999999994,0.6,46,24,9,7,0.36519999999999997,0.6859333333333334,46.06666666666667,22.4,8.0,6.133333333333334,0.3432666666666666,0.6982000000000002,48.0,22.266666666666666,8.2,5.933333333333334
5321,21800402,Portland Trail Blazers,Houston Rockets,104,111,215,7,Houston Rockets,7,0.4,0.857,44,20,1,4,0.31,0.667,42,22,9,5,0.34706666666666663,0.7873333333333334,47.86666666666667,21.266666666666666,6.733333333333333,4.933333333333334,0.3402666666666666,0.7828666666666667,40.46666666666667,21.266666666666666,7.533333333333333,5.666666666666667
5322,21800403,Phoenix Suns,San Antonio Spurs,86,111,197,25,San Antonio Spurs,25,0.28600000000000003,0.857,40,19,7,5,0.619,0.8420000000000001,46,28,7,2,0.3361333333333334,0.7653333333333333,38.666666666666664,24.266666666666666,9.533333333333333,4.8,0.3915333333333333,0.8496666666666667,43.333333333333336,23.866666666666667,5.466666666666667,4.4
5323,21800404,Toronto Raptors,Los Angeles Clippers,123,99,222,24,Toronto Raptors,24,0.483,0.75,43,34,8,6,0.28,0.8420000000000001,44,25,2,5,0.3311333333333334,0.8236000000000001,44.93333333333333,25.066666666666666,7.933333333333334,5.533333333333333,0.3597333333333333,0.7966,46.53333333333333,22.466666666666665,6.733333333333333,4.733333333333333
5324,21800405,Detroit Pistons,Charlotte Hornets,107,108,215,1,Charlotte Hornets,1,0.382,0.667,49,23,4,10,0.321,0.784,42,21,7,5,0.3263333333333333,0.7043999999999999,46.13333333333333,22.866666666666667,7.533333333333333,3.7333333333333334,0.3484666666666667,0.7994666666666667,43.06666666666667,23.133333333333333,8.866666666666667,4.533333333333333
5325,21800406,New York Knicks,Cleveland Cavaliers,106,113,219,7,Cleveland Cavaliers,7,0.40700000000000003,0.929,43,21,7,7,0.294,0.81,51,19,7,4,0.3608666666666666,0.7805333333333332,45.6,19.666666666666668,6.333333333333333,5.866666666666666,0.359,0.7640666666666667,44.266666666666666,19.2,6.066666666666666,2.3333333333333335
5326,21800407,Milwaukee Bucks,Indiana Pacers,97,113,210,16,Indiana Pacers,16,0.256,0.667,43,22,6,6,0.4,0.75,54,31,7,4,0.34713333333333335,0.743,49.06666666666667,26.133333333333333,8.0,5.4,0.3831333333333334,0.7706,45.333333333333336,26.6,9.733333333333333,5.533333333333333
5327,21800408,Brooklyn Nets,Philadelphia 76ers,127,124,251,3,Brooklyn Nets,3,0.5,0.86,37,20,10,1,0.429,0.75,37,31,11,3,0.34259999999999996,0.7328,47.13333333333333,21.133333333333333,6.8,3.3333333333333335,0.3670666666666666,0.7598666666666667,45.8,26.666666666666668,7.466666666666667,4.8
5328,21800409,Boston Celtics,Washington Wizards,130,125,255,5,Boston Celtics,5,0.289,1.0,50,20,6,2,0.364,0.7240000000000001,41,25,7,4,0.3677333333333333,0.8068666666666666,44.93333333333333,27.0,9.666666666666666,4.933333333333334,0.3263333333333333,0.7194000000000002,41.2,26.266666666666666,8.933333333333334,5.4
5329,21800410,Portland Trail Blazers,Memphis Grizzlies,83,92,175,9,Memphis Grizzlies,9,0.273,0.813,44,15,11,9,0.33299999999999996,0.667,51,19,9,10,0.34806666666666664,0.7825333333333335,47.266666666666666,21.4,6.533333333333333,4.666666666666667,0.34579999999999994,0.7698,40.53333333333333,23.933333333333334,8.2,7.533333333333333
5330,21800411,Oklahoma City Thunder,New Orleans Pelicans,114,118,232,4,New Orleans Pelicans,4,0.302,0.63,39,23,10,6,0.222,0.8,56,29,14,3,0.33433333333333337,0.7354,50.8,24.0,9.533333333333333,5.4,0.34713333333333324,0.7999333333333334,46.86666666666667,27.4,7.666666666666667,5.466666666666667
5331,21800412,Atlanta Hawks,Dallas Mavericks,107,114,221,7,Dallas Mavericks,7,0.33299999999999996,0.7140000000000001,44,21,7,2,0.353,0.7440000000000001,36,22,13,5,0.2966,0.7568000000000001,44.0,24.533333333333335,9.933333333333334,5.666666666666667,0.36086666666666667,0.7434,46.8,22.466666666666665,8.666666666666666,4.533333333333333
5332,21800413,Miami Heat,Utah Jazz,84,111,195,27,Utah Jazz,27,0.364,0.583,30,16,10,2,0.5,0.7140000000000001,52,29,6,4,0.35219999999999996,0.6976666666666667,46.86666666666667,22.533333333333335,8.2,6.2,0.31339999999999996,0.7026666666666664,42.6,24.333333333333332,9.866666666666667,4.933333333333334
5333,21800414,Minnesota Timberwolves,Sacramento Kings,130,141,271,11,Sacramento Kings,11,0.409,0.778,39,30,4,4,0.5,0.688,38,34,3,6,0.37526666666666664,0.7853333333333333,45.333333333333336,24.866666666666667,9.133333333333333,5.266666666666667,0.3836666666666667,0.7243999999999998,44.733333333333334,24.933333333333334,8.733333333333333,4.2
5334,21800415,Toronto Raptors,Golden State Warriors,113,93,206,20,Toronto Raptors,20,0.321,0.8420000000000001,48,27,12,3,0.231,0.6920000000000001,40,28,5,11,0.3440666666666667,0.8160000000000002,44.93333333333333,25.866666666666667,7.866666666666666,5.6,0.36526666666666663,0.8411333333333333,45.53333333333333,25.866666666666667,6.733333333333333,6.4
